epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2926,1.28978,2.53804,1.08174,0.20203,0.91702,0.57591,0.4459,0.79891,3.50092,0.90114,0.00022,0.00022,0.00022
2,19.9493,1.13456,1.40167,0.97884,0.52433,0.92963,0.69268,0.53019,0.74351,10.2314,0.89034,0.000447772,0.000447772,0.000447772
3,28.7667,1.08869,1.25708,0.9802,0.4157,0.84921,0.52019,0.41847,0.78053,38.5894,0.89893,0.000673268,0.000673268,0.000673268
4,37.027,1.06078,1.15165,0.96925,0.02052,0.25922,0.04136,0.02581,0.87175,inf,0.91557,0.000896486,0.000896486,0.000896486
5,44.714,1.10654,1.3271,0.97594,0.40278,0.29231,0.35889,0.30997,0.90387,126.428,0.97204,0.0009802,0.0009802,0.0009802
6,52.4689,1.14472,1.178,0.96698,0.46379,0.82197,0.72968,0.49962,1.07713,3.0047,0.9835,0.00097525,0.00097525,0.00097525
7,60.0477,1.27519,1.09864,1.01466,0.46122,0.72005,0.72506,0.56098,0.87853,1.9177,0.9455,0.0009703,0.0009703,0.0009703
8,68.2481,1.17287,1.02337,1.03175,0.57111,0.39933,0.45174,0.39769,0.85914,25.2282,0.95885,0.00096535,0.00096535,0.00096535
9,75.8242,1.08784,0.98808,0.96562,0.85263,0.80414,0.92762,0.72144,0.86849,1.0502,0.948,0.0009604,0.0009604,0.0009604
10,84.029,0.98317,0.78668,0.941,0.78751,0.97505,0.96514,0.74885,0.77453,0.80074,0.90162,0.00095545,0.00095545,0.00095545
11,92.2157,1.05044,0.69922,0.95153,0.83467,0.87708,0.95193,0.75208,0.88999,0.7581,0.94113,0.0009505,0.0009505,0.0009505
12,100.465,1.00934,0.65181,0.96849,0.70054,0.88236,0.80185,0.6543,0.78874,1.39572,0.89971,0.00094555,0.00094555,0.00094555
13,108.295,1.05357,0.64315,0.95275,0.3776,0.59442,0.31933,0.2586,1.32628,inf,2.95403,0.0009406,0.0009406,0.0009406
14,115.956,0.96186,0.6161,0.9251,0.35607,0.58336,0.31244,0.25647,1.12059,inf,1.34374,0.00093565,0.00093565,0.00093565
15,123.973,0.98799,0.63102,0.92321,0.8953,1,0.93286,0.75538,0.77355,0.53117,0.90543,0.0009307,0.0009307,0.0009307
16,132.181,0.94075,0.57262,0.93562,0.87936,0.97216,0.95163,0.78503,0.75078,0.52816,0.89275,0.00092575,0.00092575,0.00092575
17,140.53,0.9529,0.60065,0.91499,0.8653,0.96296,0.9474,0.73825,0.83532,0.55645,0.91467,0.0009208,0.0009208,0.0009208
18,148.409,0.93878,0.58031,0.93059,0.85921,0.98718,0.97542,0.80042,0.72379,0.50061,0.89014,0.00091585,0.00091585,0.00091585
19,156.599,0.92153,0.55132,0.90959,0.86316,0.97619,0.96356,0.80358,0.70392,0.51403,0.88842,0.0009109,0.0009109,0.0009109
20,164.868,0.90728,0.57403,0.93302,0.79681,0.94602,0.91626,0.75126,0.73357,0.67086,0.88874,0.00090595,0.00090595,0.00090595
21,172.555,0.9312,0.54886,0.92686,0.83578,0.90954,0.93932,0.76849,0.76696,0.68291,0.89295,0.000901,0.000901,0.000901
